MEDVEĎ	Druh všežravého cicavca z čeľade medveďovitých. V zime dokáže až 6 mesiacov hibernovať v brlohu.
SASANKA	Rad šesťlúčových koralovcov s rozmerom 30 – 50 cm. Dokáže stráviť aj väčšie rybky.
NETOPIER	Lietajúci cicavec, ktorý sa živí nektárom, bylinami alebo hmyzom. Lieta v noci, pričom deň prespí v úkryte.
KAPOR	Najznámejšia teplomilná ryba Slovenska. Dorastá do váhy až 30 kg pri dĺžke nad 1 m.
JASTRAB	Dravý vták s hmotnosťou do 2 kg a s rozpätím krídel 98 až 117 cm. Samica je výrazne väčšia ako samec, vzhľadom sa však inak nelíšia.
SCHRÁNKA	Miesto na prijímanie pošty papierovej alebo elektronickej.
CUDZINEC	Príslušník cudzieho štátu alebo všeobecne neznámy, cudzí človek.
DŽUNGĽA	Hustý, neprehľadný tropický les alebo všeobecne niečo neprehľadné, neusporiadané, chaos.
XYLOFÓN	Bicí hudobný nástroj skladajúci sa zo sústavy ladených doštičiek.
YPSILON	Grécky názov písmena a hlásky y.
